cik,name
1389256,"American Assets Investment Management, LLC"
908758,"American Beacon Advisors, Inc."
2018007,"American Capital Advisory, LLC"
1320168,AMERICAN CAPITAL MANAGEMENT INC
748054,AMERICAN CENTURY COMPANIES INC
4962,AMERICAN EXPRESS CO
2029723,"American Family Investments, Inc."
911927,AMERICAN FINANCIAL & TAX STRATEGIES INC
1767898,"American Financial Advisors, LLC"
1042046,AMERICAN FINANCIAL GROUP INC
943719,AMERICAN FINANCIAL GROUP INC 401(K) RETIREMENT & SAVINGS PLAN
1805824,"American Institute for Advanced Investment Management, LLP"
5272,"AMERICAN INTERNATIONAL GROUP, INC."
1369913,"American Investment Services, Inc."
1600085,"American Money Management, LLC"
1272164,AMERICAN NATIONAL BANK & TRUST
2086953,American National Bank of Texas
1475483,AMERICAN SECURITIES LLC
2122473,American State Bank (Iowa)
1905128,American Trust
1291424,"American Trust Investment Advisors, LLC"
2095589,"American Wealth Advisors, LLC"
1797678,"Americana Partners, LLC"
2057637,"AMERIFLEX GROUP, INC."
820027,AMERIPRISE FINANCIAL INC
1102062,AmeriServ Wealth Advisors
1901275,"Ameritas Advisory Services, LLC"
1055980,"Ameritas Investment Partners, Inc."
1132651,AMES NATIONAL CORP
1553562,AMF Tjanstepension AB
2113282,"AMG Asset Management Group, Inc."
1388829,AMG National Trust Bank
1369702,AMI ASSET MANAGEMENT CORP
1122241,AMI INVESTMENT MANAGEMENT INC
857508,AMICA MUTUAL INSURANCE CO
2113629,"Amicus Financial Advisors, LLC"
1828064,AMIRAL GESTION
1807559,Amitell Capital Pte Ltd
1801585,AMJ Financial Wealth Management
1480751,"Amova Asset Management Americas, Inc."
2059671,"Ampersand Capital Group, L.P."
1853635,"Ampfield Management, L.P."
1632494,"Amplify Investments, LLC"
1900584,"Amplius Wealth Advisors, LLC"
1717977,AMS Capital Ltda
1365555,"Amtrust Financial Services, Inc."
1330387,Amundi
1822480,"Anabranch Capital Management, LP"
1753384,Analog Century Management LP
1634208,Analyst IMS Investment Management Services Ltd.
2037077,"Ananym Capital Management, LP"
1693745,Anatole Investment Management Ltd
2067126,ANB BANK
1993962,Anchor @ 65 Pte. Ltd.
813933,ANCHOR CAPITAL ADVISORS LLC
2009885,"ANCHOR CAPITAL MANAGEMENT COMPANY, LLC"
894119,Anchor Capital Management Group Inc
1634149,"Anchor Investment Management, LLC"
2007642,"Anchorage Capital Advisors, L.P."
1300714,"Anchorage Capital Group, L.L.C."
2107106,ANCHYRA PARTNERS LLC
1426749,"Ancient Art, L.P."
1446114,Ancora Advisors LLC
1805591,Andar Capital Management HK Ltd
1757283,ANDERA PARTNERS
2018166,"Anderson Financial Strategies, LLC"
791191,ANDERSON HOAGLAND & CO
1919158,"Andina Capital Management, LLC"
1535452,Andra AP-fonden
1897071,"Andrew Hill Investment Advisors, Inc."
